cid_t	nth_day	VV
0	95.0	765.2700863107948
0	96.0	497.38690302029164
0	97.0	499.48605477856074
0	98.0	517.5761326237365
0	99.0	517.7988413196155
0	100.0	491.64225624217397
0	101.0	490.2090406641779
1	95.0	63506.16752261414
1	96.0	60817.34881192981
1	97.0	61642.20720006862
1	98.0	63568.82367349194
1	99.0	63804.36511099424
1	100.0	61213.59202998961
1	101.0	60957.3327605915
2	95.0	1040.4120734725518
2	96.0	1032.5306113646313
2	97.0	1034.0405136745587
2	98.0	1066.7301159429942
2	99.0	1063.1662492112728
2	100.0	1026.0444551403612
2	101.0	1032.0645008538254
3	95.0	2217.3800030062876
3	96.0	2185.4963985947156
3	97.0	2167.32380922683
3	98.0	2193.2187526423004
3	99.0	2128.0036728224995
3	100.0	1629.3365380767702
3	101.0	1804.9134496011222
4	95.0	112.8443091159122
4	96.0	72.7920394955012
4	97.0	71.20946626844237
4	98.0	75.4942329240677
4	99.0	79.70871464237297
4	100.0	69.877064325761
4	101.0	71.2867129669808
5	95.0	1392.1700219279937
5	96.0	959.2739357734845
5	97.0	974.2521494190865
5	98.0	1022.9990798077965
5	99.0	1009.0603438195661
5	100.0	958.1411969274393
5	101.0	965.390118586984
6	95.0	1131.139628557378
6	96.0	810.2913701615629
6	97.0	806.8868499780389
6	98.0	814.4152884534958
6	99.0	809.5567465941635
6	100.0	702.5437421111214
6	101.0	706.9124986947513
7	95.0	939.7655094725469
7	96.0	587.9053503465466
7	97.0	618.6070458958369
7	98.0	742.0787676030209
7	99.0	705.8371849233199
7	100.0	589.6693209774346
7	101.0	596.5946455739936
8	95.0	4410.579767162714
8	96.0	4394.603233871551
8	97.0	4396.726969586808
8	98.0	4338.4898621503635
8	99.0	4401.299217709781
8	100.0	3799.477686961154
8	101.0	4407.005628473539
9	95.0	1160.750418022797
9	96.0	1166.008722858134
9	97.0	1186.8542109234045
9	98.0	1226.251311741273
9	99.0	1227.1949864047322
9	100.0	1153.1116532011306
9	101.0	1152.7158262678681
10	95.0	1155.087692438348
10	96.0	773.3067542137001
10	97.0	774.3342449579807
10	98.0	797.0873127692905
10	99.0	801.665542699638
10	100.0	769.4003432582329
10	101.0	774.5924079407492
11	95.0	1804.366059179445
11	96.0	1252.8501896135951
11	97.0	1266.963691259142
11	98.0	1321.8507640269333
11	99.0	1337.2945403811993
11	100.0	1239.297249479504
11	101.0	1253.576088417115
12	95.0	1781.5537735743471
12	96.0	1267.5663919107992
12	97.0	1329.7398783910942
12	98.0	1534.1601941226695
12	99.0	1553.1450168087479
12	100.0	1223.8127566147043
12	101.0	1286.922893422896
13	95.0	8170.698158624517
13	96.0	8173.004810218113
13	97.0	8040.919994527683
13	98.0	8222.126830073135
13	99.0	8180.606002832431
13	100.0	7481.793327012969
13	101.0	7271.34376723962
14	95.0	30043.162508881545
14	96.0	21832.969405388754
14	97.0	21955.04358430854
14	98.0	23082.95992608382
14	99.0	22796.23155087727
14	100.0	19106.616161782556
14	101.0	18610.269055187
15	95.0	1426.2588392285634
15	96.0	936.4177510266214
15	97.0	945.8238002789352
15	98.0	1019.3309394928824
15	99.0	1020.3223769321936
15	100.0	934.1058886566727
15	101.0	931.8080481803415
16	95.0	941.4480728806367
16	96.0	927.5081719924164
16	97.0	602.0390573278984
16	98.0	646.2697339983523
16	99.0	647.5056418257409
16	100.0	587.2097687974326
16	101.0	589.2091756718512
17	95.0	7557.880414368525
17	96.0	7512.9925505047
17	97.0	7470.458033855156
17	98.0	7557.767094668108
17	99.0	7619.674531633548
17	100.0	7409.571559194382
17	101.0	7255.020098210285
18	95.0	1493.659452503944
18	96.0	1018.6981846990778
18	97.0	1030.5111939877422
18	98.0	1114.090252941291
18	99.0	1128.529853778971
18	100.0	996.0442498647865
18	101.0	1006.5266137826211
19	95.0	639553.1696489436
19	96.0	680102.1394513372
19	97.0	714859.294044083
19	98.0	750707.7368828973
19	99.0	783098.9362045262
19	100.0	905570.1857524242
19	101.0	905414.3366021524
20	95.0	2208.0950815896326
20	96.0	2203.2849313712554
20	97.0	2188.926169774096
20	98.0	2198.859896158662
20	99.0	2182.3059988825553
20	100.0	2169.7700835943588
20	101.0	2170.3332481763737
21	95.0	17905.714001822565
21	96.0	11400.515362995633
21	97.0	11762.49968792918
21	98.0	13277.210719376471
21	99.0	13635.69693080717
21	100.0	11602.017169765953
21	101.0	11685.863003970628
22	95.0	760187.0957886741
22	96.0	737419.5582352463
22	97.0	702689.7572804966
22	98.0	644990.9318255337
22	99.0	650396.7851397736
22	100.0	710261.4044334369
22	101.0	705828.5888837256
23	95.0	3019.5460745009837
23	96.0	3025.0440131436676
23	97.0	3000.100075640354
23	98.0	3085.615928019899
23	99.0	3054.3257419782562
23	100.0	3027.0705002303703
23	101.0	3025.1442377758312
24	95.0	8140.274178934887
24	96.0	7270.448123822168
24	97.0	7333.376881966583
24	98.0	7586.639906613665
24	99.0	7549.228179422103
24	100.0	7322.212341464765
24	101.0	7198.924214393695
25	95.0	38630.61048414547
25	96.0	38611.823861637095
25	97.0	39172.08308855269
25	98.0	38882.35265520234
25	99.0	35550.06014745791
25	100.0	34854.90515844661
25	101.0	29508.649663891287
26	95.0	1713.9106882334383
26	96.0	1713.6071965610518
26	97.0	1690.9645637453818
26	98.0	1713.9356790187069
26	99.0	1707.7072216871784
26	100.0	1705.9628227128615
26	101.0	1645.0725316096568
27	95.0	26078.15255229761
27	96.0	16724.539616966005
27	97.0	17006.76517185778
27	98.0	18340.23270847606
27	99.0	18432.77191390986
27	100.0	15008.454172400421
27	101.0	13758.329387786653
28	95.0	2705.922025472338
28	96.0	2037.9737385537558
28	97.0	2046.8811030760394
28	98.0	2209.6760915667514
28	99.0	2156.7630557278426
28	100.0	1915.5399316453838
28	101.0	1921.3432020447237
29	95.0	604.3481970580259
29	96.0	358.36630996320315
29	97.0	372.362351509787
29	98.0	414.0550724755785
29	99.0	410.3875286468652
29	100.0	348.89446470343216
29	101.0	340.8823112778586
30	95.0	12799.886467447717
30	96.0	7887.602900903358
30	97.0	8760.216679922418
30	98.0	9082.9411582834
30	99.0	8098.029378973822
30	100.0	7286.110324501955
30	101.0	7504.279659385456
31	95.0	1103.819402609209
31	96.0	777.3727369156401
31	97.0	803.2011864698522
31	98.0	868.4916655066348
31	99.0	846.1813310146812
31	100.0	785.2187560831596
31	101.0	754.4019890464027
32	95.0	420.5625005215882
